"23032","0","0","2401 4th Ave Garage","Subterranean Lot","Customers Only||Free;","Building Address||2401 4th Ave Seattle, WA 98121, US;Type||Restricted;Total Spaces||101;Operator||AlaskaUSA Federal Credit Union;Max Height||6 ft.2 in.(1.88 meters);","Covered Parking;Open 24/7;","76","101"
"23743","0","0","Herban Legends","Surface Lot","Mon-Sun||Free;","Building Address||55 Bell St Seattle, WA 98121, US;Type||Semi-Restricted;Total Spaces||10;","Over 7ft. Clearance;","7","10"
"79558","0","0","Kings Inn","Surface and Subterranean Lot","Mon-Sun||Free;","Type||Semi-Restricted;Total Spaces||11;","Covered Parking;Open 24/7;","9","11"
"81116","0","0","1519 Broadway Parking","Surface Lot","Customers Only||Free;","Type||Restricted;Total Spaces||22;Operator||Tacos Guaymas Restaurant;","Open 24/7;Over 7ft. Clearance;","16","22"
"81125","0","0","1708 Bellevue Ave Parking","Surface Lot","Customers Only||Free;","Building Address||;Type||Restricted;Total Spaces||13;","Unobstructed;Over 7ft. Clearance;","10","13"
"81128","0","0","Amli","Subterranean Lot","Guests Only||Free;","Building Address||1260 Republican St Seattle, WA 98109, US;Type||Restricted;Total Spaces||117;Max Height||8 ft.2 in.(2.49 meters);","Covered Parking;Open 24/7;Over 7ft. Clearance;","86","117"
"81166","0","0","1057 Marion St Parking","Surface Lot","Visitors Only||Free;","Building Address||;Type||Semi-Restricted;Total Spaces||94;Total Handicap Spaces||1;","Handicap Spaces;Open 24/7;Unobstructed;Over 7ft. Clearance;","62","94"
"81174","0","0","415 Westlake Ave N Parking","Surface Lot","Customers Only||Free;","Building Address||;Type||Restricted;Total Spaces||17;","Open 24/7;Unobstructed;Over 7ft. Clearance;","12","17"
"81202","0","0","McDonald's","Surface Lot","Customers Only||Free;","Type||Restricted;Total Spaces||21;Operator||Mcdonalds;","Open 24/7;Unobstructed;Over 7ft. Clearance;Park & Lock;","16","21"
"187077","0","0","Kindred Hospital - First Hill","Surface Lot","30 Min - Mon-Fri; 6am-6pm||Free;Each Additional Hour - Mon-Fri; 6am-6pm||$2;Mon-Fri - 6am-6pm||$20;1 Hour - Mon-Fri; 6pm-6am||Free;Each Additional Hour - Mon-Fri; 6pm-6am||$2;Mon-Fri - 6pm-6am||$5;1 Hour - Sat-Sun||Free;Each Additional Hour - Sat-Sun||$2;Sat-Sun||$5;","Type||Semi-Restricted;Total Spaces||20;Total Handicap Spaces||2;","Handicap Spaces;Open 24/7;Unobstructed;Over 7ft. Clearance;Credit Cards Accepted;Park & Lock;","15","20"
